TrackName: Percussion
A NoteOff, Abs: 2496 (D 16)
A NoteOn, Abs: 2496 (D 0)
A NoteOff, Abs: 2512 (D 16)
A NoteOn, Abs: 2544 (D 32)
A NoteOff, Abs: 2560 (D 16)
A NoteOn, Abs: 2576 (D 16)
A NoteOff, Abs: 2592 (D 16)
A NoteOn, Abs: 2592 (D 0)
A NoteOff, Abs: 2624 (D 32)
A NoteOn, Abs: 2640 (D 16)
A NoteOff, Abs: 2656 (D 16)
A NoteOn, Abs: 2672 (D 16)
A NoteOff, Abs: 2688 (D 16)
A NoteOn, Abs: 2688 (D 0)
A NoteOff, Abs: 2704 (D 16)
A NoteOn, Abs: 2736 (D 32)
A NoteOff, Abs: 2752 (D 16)
A NoteOn, Abs: 2768 (D 16)
A NoteOff, Abs: 2784 (D 16)
A NoteOn, Abs: 2784 (D 0)
A NoteOff, Abs: 2816 (D 32)
A NoteOn, Abs: 2832 (D 16)
A NoteOff, Abs: 2848 (D 16)
A NoteOn, Abs: 2864 (D 16)
A NoteOff, Abs: 2880 (D 16)
A NoteOn, Abs: 2880 (D 0)
A NoteOff, Abs: 2896 (D 16)
A NoteOn, Abs: 2928 (D 32)
A NoteOff, Abs: 2944 (D 16)
A NoteOn, Abs: 2960 (D 16)
A NoteOff, Abs: 2976 (D 16)
A NoteOn, Abs: 2976 (D 0)
A NoteOff, Abs: 3008 (D 32)
A NoteOn, Abs: 3024 (D 16)
A NoteOff, Abs: 3040 (D 16)
A NoteOn, Abs: 3056 (D 16)
A NoteOff, Abs: 3072 (D 16)
A NoteOn, Abs: 3072 (D 0)
A NoteOff, Abs: 3088 (D 16)
A NoteOn, Abs: 3120 (D 32)
A NoteOff, Abs: 3136 (D 16)
A NoteOn, Abs: 3152 (D 16)
A NoteOff, Abs: 3168 (D 16)
A NoteOn, Abs: 3168 (D 0)
A NoteOff, Abs: 3200 (D 32)
A NoteOn, Abs: 3216 (D 16)
A NoteOff, Abs: 3232 (D 16)
A NoteOn, Abs: 3248 (D 16)
A NoteOff, Abs: 3264 (D 16)
A NoteOn, Abs: 3264 (D 0)
A NoteOff, Abs: 3280 (D 16)
A NoteOn, Abs: 3312 (D 32)
A NoteOff, Abs: 3328 (D 16)
A NoteOn, Abs: 3344 (D 16)
A NoteOff, Abs: 3360 (D 16)
A NoteOn, Abs: 3360 (D 0)
A NoteOff, Abs: 3392 (D 32)
A NoteOn, Abs: 3408 (D 16)
A NoteOff, Abs: 3424 (D 16)
A NoteOn, Abs: 3440 (D 16)
A NoteOff, Abs: 3456 (D 16)
A NoteOn, Abs: 3456 (D 0)
A NoteOff, Abs: 3472 (D 16)
A NoteOn, Abs: 3504 (D 32)
A NoteOff, Abs: 3520 (D 16)
A NoteOn, Abs: 3536 (D 16)
A NoteOff, Abs: 3552 (D 16)
A NoteOn, Abs: 3552 (D 0)
A NoteOff, Abs: 3584 (D 32)
A NoteOn, Abs: 3600 (D 16)
A NoteOff, Abs: 3616 (D 16)
A NoteOn, Abs: 3632 (D 16)
A NoteOff, Abs: 3648 (D 16)
A NoteOn, Abs: 3648 (D 0)
A NoteOff, Abs: 3664 (D 16)
A NoteOn, Abs: 3696 (D 32)
A NoteOff, Abs: 3712 (D 16)
A NoteOn, Abs: 3728 (D 16)
A NoteOff, Abs: 3744 (D 16)
A NoteOn, Abs: 3744 (D 0)
A NoteOff, Abs: 3776 (D 32)
A NoteOn, Abs: 3792 (D 16)
A NoteOff, Abs: 3808 (D 16)
A NoteOn, Abs: 3824 (D 16)
A NoteOff, Abs: 3840 (D 16)
A NoteOn, Abs: 3840 (D 0)
A NoteOff, Abs: 3856 (D 16)
A NoteOn, Abs: 3888 (D 32)
A NoteOff, Abs: 3904 (D 16)
A NoteOn, Abs: 3920 (D 16)
A NoteOff, Abs: 3936 (D 16)
A NoteOn, Abs: 3936 (D 0)
A NoteOff, Abs: 3968 (D 32)
A NoteOn, Abs: 3984 (D 16)
A NoteOff, Abs: 4000 (D 16)
A NoteOn, Abs: 4016 (D 16)
A NoteOff, Abs: 4032 (D 16)
A NoteOn, Abs: 4032 (D 0)
A NoteOff, Abs: 4048 (D 16)
A NoteOn, Abs: 4080 (D 32)
A NoteOff, Abs: 4096 (D 16)
A NoteOn, Abs: 4112 (D 16)
A NoteOff, Abs: 4128 (D 16)
A NoteOn, Abs: 4128 (D 0)
A NoteOff, Abs: 4160 (D 32)
A NoteOn, Abs: 4176 (D 16)
A NoteOff, Abs: 4192 (D 16)
A NoteOn, Abs: 4208 (D 16)
A NoteOff, Abs: 4224 (D 16)
A NoteOn, Abs: 4224 (D 0)
A NoteOff, Abs: 4240 (D 16)
A NoteOn, Abs: 4272 (D 32)
A NoteOff, Abs: 4288 (D 16)
A NoteOn, Abs: 4304 (D 16)
A NoteOff, Abs: 4320 (D 16)
A NoteOn, Abs: 4320 (D 0)
A NoteOff, Abs: 4352 (D 32)
A NoteOn, Abs: 4368 (D 16)
A NoteOff, Abs: 4384 (D 16)
A NoteOn, Abs: 4400 (D 16)
A NoteOff, Abs: 4416 (D 16)
A NoteOn, Abs: 4416 (D 0)
A NoteOff, Abs: 4432 (D 16)
A NoteOn, Abs: 4464 (D 32)
A NoteOff, Abs: 4480 (D 16)
A NoteOn, Abs: 4496 (D 16)
A NoteOff, Abs: 4512 (D 16)
A NoteOn, Abs: 4512 (D 0)
A NoteOff, Abs: 4544 (D 32)
A NoteOn, Abs: 4560 (D 16)
A NoteOff, Abs: 4576 (D 16)
A NoteOn, Abs: 4592 (D 16)
A NoteOff, Abs: 4608 (D 16)
A NoteOn, Abs: 4608 (D 0)
A NoteOff, Abs: 4624 (D 16)
A NoteOn, Abs: 4656 (D 32)
A NoteOff, Abs: 4672 (D 16)
A NoteOn, Abs: 4688 (D 16)
A NoteOff, Abs: 4704 (D 16)
A NoteOn, Abs: 4704 (D 0)
A NoteOff, Abs: 4736 (D 32)
A NoteOn, Abs: 4752 (D 16)
A NoteOff, Abs: 4768 (D 16)
A NoteOn, Abs: 4784 (D 16)
A NoteOff, Abs: 4800 (D 16)
A NoteOn, Abs: 4800 (D 0)
A NoteOff, Abs: 4816 (D 16)
A NoteOn, Abs: 4848 (D 32)
A NoteOff, Abs: 4864 (D 16)
A NoteOn, Abs: 4880 (D 16)
A NoteOff, Abs: 4896 (D 16)
A NoteOn, Abs: 4896 (D 0)
A NoteOff, Abs: 4928 (D 32)
A NoteOn, Abs: 4944 (D 16)
A NoteOff, Abs: 4960 (D 16)
A NoteOn, Abs: 4976 (D 16)
A NoteOff, Abs: 4992 (D 16)
A NoteOn, Abs: 4992 (D 0)
A NoteOff, Abs: 5024 (D 32)
A NoteOn, Abs: 5040 (D 16)
A NoteOff, Abs: 5056 (D 16)
A NoteOn, Abs: 5064 (D 8)
A NoteOff, Abs: 5096 (D 32)
A NoteOn, Abs: 5112 (D 16)
A NoteOff, Abs: 5128 (D 16)
A NoteOn, Abs: 5136 (D 8)
A NoteOff, Abs: 5168 (D 32)
A NoteOn, Abs: 5184 (D 16)
