TrackName: Bass Line
F NoteOff, Abs: 3736 (D 16)
F NoteOn, Abs: 3744 (D 8)
F NoteOff, Abs: 3760 (D 16)
A NoteOn, Abs: 3792 (D 32)
A NoteOff, Abs: 3808 (D 16)
E NoteOn, Abs: 3840 (D 32)
E NoteOff, Abs: 3856 (D 16)
G# NoteOn, Abs: 3912 (D 56)
G# NoteOff, Abs: 3928 (D 16)
C NoteOn, Abs: 3984 (D 56)
C NoteOff, Abs: 4000 (D 16)
F NoteOn, Abs: 4008 (D 8)
F NoteOff, Abs: 4024 (D 16)
D NoteOn, Abs: 4056 (D 32)
D NoteOff, Abs: 4072 (D 16)
D NoteOn, Abs: 4104 (D 32)
D NoteOff, Abs: 4120 (D 16)
D NoteOn, Abs: 4128 (D 8)
D NoteOff, Abs: 4144 (D 16)
C NoteOn, Abs: 4176 (D 32)
C NoteOff, Abs: 4192 (D 16)
E NoteOn, Abs: 4224 (D 32)
E NoteOff, Abs: 4240 (D 16)
C NoteOn, Abs: 4296 (D 56)
C NoteOff, Abs: 4312 (D 16)
F NoteOn, Abs: 4368 (D 56)
F NoteOff, Abs: 4384 (D 16)
A NoteOn, Abs: 4416 (D 32)
A NoteOff, Abs: 4432 (D 16)
F NoteOn, Abs: 4488 (D 56)
F NoteOff, Abs: 4504 (D 16)
F NoteOn, Abs: 4512 (D 8)
F NoteOff, Abs: 4528 (D 16)
A NoteOn, Abs: 4560 (D 32)
A NoteOff, Abs: 4576 (D 16)
E NoteOn, Abs: 4608 (D 32)
E NoteOff, Abs: 4624 (D 16)
C# NoteOn, Abs: 4656 (D 32)
C# NoteOff, Abs: 4672 (D 16)
D# NoteOn, Abs: 4728 (D 56)
D# NoteOff, Abs: 4744 (D 16)
F NoteOn, Abs: 4800 (D 56)
F NoteOff, Abs: 4816 (D 16)
C NoteOn, Abs: 4872 (D 56)
C NoteOff, Abs: 4888 (D 16)
C NoteOn, Abs: 4896 (D 8)
C NoteOff, Abs: 4912 (D 16)
E NoteOn, Abs: 4944 (D 32)
E NoteOff, Abs: 4960 (D 16)
C NoteOn, Abs: 4992 (D 32)
C NoteOff, Abs: 5008 (D 16)
G NoteOn, Abs: 5064 (D 56)
G NoteOff, Abs: 5080 (D 16)
C# NoteOn, Abs: 5136 (D 56)
C# NoteOff, Abs: 5152 (D 16)
C NoteOn, Abs: 5184 (D 32)
C NoteOff, Abs: 5200 (D 16)
E NoteOn, Abs: 5256 (D 56)
E NoteOff, Abs: 5272 (D 16)
A# NoteOn, Abs: 5328 (D 56)
A# NoteOff, Abs: 5344 (D 16)
C NoteOn, Abs: 5376 (D 32)
C NoteOff, Abs: 5392 (D 16)
G NoteOn, Abs: 5448 (D 56)
G NoteOff, Abs: 5464 (D 16)
C# NoteOn, Abs: 5520 (D 56)
C# NoteOff, Abs: 5536 (D 16)
C NoteOn, Abs: 5568 (D 32)
C NoteOff, Abs: 5584 (D 16)
E NoteOn, Abs: 5640 (D 56)
E NoteOff, Abs: 5656 (D 16)
A# NoteOn, Abs: 5712 (D 56)
A# NoteOff, Abs: 5728 (D 16)
C NoteOn, Abs: 5760 (D 32)
C NoteOff, Abs: 5776 (D 16)
G NoteOn, Abs: 5832 (D 56)
G NoteOff, Abs: 5848 (D 16)
C# NoteOn, Abs: 5904 (D 56)
C# NoteOff, Abs: 5920 (D 16)
C NoteOn, Abs: 5952 (D 32)
C NoteOff, Abs: 5968 (D 16)
E NoteOn, Abs: 6024 (D 56)
E NoteOff, Abs: 6040 (D 16)
A# NoteOn, Abs: 6096 (D 56)
A# NoteOff, Abs: 6112 (D 16)
F# NoteOn, Abs: 6144 (D 32)
F# NoteOff, Abs: 6160 (D 16)
F# NoteOn, Abs: 6168 (D 8)
F# NoteOff, Abs: 6184 (D 16)
F# NoteOn, Abs: 6216 (D 32)
F# NoteOff, Abs: 6232 (D 16)
F# NoteOn, Abs: 6264 (D 32)
F# NoteOff, Abs: 6280 (D 16)
F# NoteOn, Abs: 6288 (D 8)
F# NoteOff, Abs: 6304 (D 16)
C# NoteOn, Abs: 6336 (D 32)
C# NoteOff, Abs: 6352 (D 16)
C NoteOn, Abs: 6432 (D 80)
C NoteOff, Abs: 6448 (D 16)
C NoteOn, Abs: 6528 (D 80)
C NoteOff, Abs: 6544 (D 16)
G# NoteOn, Abs: 6600 (D 56)
G# NoteOff, Abs: 6616 (D 16)
E NoteOn, Abs: 6672 (D 56)
E NoteOff, Abs: 6688 (D 16)
A NoteOn, Abs: 6744 (D 56)
A NoteOff, Abs: 6760 (D 16)
C NoteOn, Abs: 6792 (D 32)
C NoteOff, Abs: 6808 (D 16)
A# NoteOn, Abs: 6840 (D 32)
A# NoteOff, Abs: 6856 (D 16)
A NoteOn, Abs: 6864 (D 8)
A NoteOff, Abs: 6880 (D 16)
G# NoteOn, Abs: 6912 (D 32)
G# NoteOff, Abs: 6928 (D 16)
F NoteOn, Abs: 6944 (D 16)
F NoteOff, Abs: 6960 (D 16)
A NoteOn, Abs: 6976 (D 16)
A NoteOff, Abs: 6992 (D 16)
A# NoteOn, Abs: 7008 (D 16)
A# NoteOff, Abs: 7024 (D 16)
G NoteOn, Abs: 7056 (D 32)
G NoteOff, Abs: 7072 (D 16)
A NoteOn, Abs: 7080 (D 8)
A NoteOff, Abs: 7096 (D 16)
F NoteOn, Abs: 7128 (D 32)
F NoteOff, Abs: 7144 (D 16)
D NoteOn, Abs: 7176 (D 32)
D NoteOff, Abs: 7192 (D 16)
E NoteOn, Abs: 7200 (D 8)
E NoteOff, Abs: 7216 (D 16)
C NoteOn, Abs: 7224 (D 8)
C NoteOff, Abs: 7240 (D 16)
C NoteOn, Abs: 7296 (D 56)
C NoteOff, Abs: 7312 (D 16)
G# NoteOn, Abs: 7368 (D 56)
G# NoteOff, Abs: 7384 (D 16)
E NoteOn, Abs: 7440 (D 56)
E NoteOff, Abs: 7456 (D 16)
A NoteOn, Abs: 7512 (D 56)
A NoteOff, Abs: 7528 (D 16)
C NoteOn, Abs: 7560 (D 32)
C NoteOff, Abs: 7576 (D 16)
A# NoteOn, Abs: 7608 (D 32)
A# NoteOff, Abs: 7624 (D 16)
A NoteOn, Abs: 7632 (D 8)
A NoteOff, Abs: 7648 (D 16)
G# NoteOn, Abs: 7680 (D 32)
G# NoteOff, Abs: 7696 (D 16)
F NoteOn, Abs: 7712 (D 16)
F NoteOff, Abs: 7728 (D 16)
A NoteOn, Abs: 7744 (D 16)
A NoteOff, Abs: 7760 (D 16)
A# NoteOn, Abs: 7776 (D 16)
A# NoteOff, Abs: 7792 (D 16)
G NoteOn, Abs: 7824 (D 32)
G NoteOff, Abs: 7840 (D 16)
A NoteOn, Abs: 7848 (D 8)
A NoteOff, Abs: 7864 (D 16)
F NoteOn, Abs: 7896 (D 32)
F NoteOff, Abs: 7912 (D 16)
D NoteOn, Abs: 7944 (D 32)
D NoteOff, Abs: 7960 (D 16)
E NoteOn, Abs: 7968 (D 8)
E NoteOff, Abs: 7984 (D 16)
C NoteOn, Abs: 7992 (D 8)
C NoteOff, Abs: 8008 (D 16)
E NoteOn, Abs: 8064 (D 56)
E NoteOff, Abs: 8080 (D 16)
A# NoteOn, Abs: 8136 (D 56)
A# NoteOff, Abs: 8152 (D 16)
C NoteOn, Abs: 8160 (D 8)
C NoteOff, Abs: 8176 (D 16)
F NoteOn, Abs: 8208 (D 32)
F NoteOff, Abs: 8224 (D 16)
A NoteOn, Abs: 8256 (D 32)
A NoteOff, Abs: 8272 (D 16)
A NoteOn, Abs: 8304 (D 32)
A NoteOff, Abs: 8320 (D 16)
F NoteOn, Abs: 8352 (D 32)
F NoteOff, Abs: 8368 (D 16)
F NoteOn, Abs: 8376 (D 8)
F NoteOff, Abs: 8392 (D 16)
A NoteOn, Abs: 8400 (D 8)
A NoteOff, Abs: 8416 (D 16)
F# NoteOn, Abs: 8448 (D 32)
F# NoteOff, Abs: 8464 (D 16)
A NoteOn, Abs: 8520 (D 56)
A NoteOff, Abs: 8536 (D 16)
C NoteOn, Abs: 8544 (D 8)
C NoteOff, Abs: 8560 (D 16)
E NoteOn, Abs: 8592 (D 32)
E NoteOff, Abs: 8608 (D 16)
C NoteOn, Abs: 8640 (D 32)
C NoteOff, Abs: 8656 (D 16)
C NoteOn, Abs: 8688 (D 32)
C NoteOff, Abs: 8704 (D 16)
F NoteOn, Abs: 8736 (D 32)
F NoteOff, Abs: 8752 (D 16)
F NoteOn, Abs: 8760 (D 8)
F NoteOff, Abs: 8776 (D 16)
C NoteOn, Abs: 8784 (D 8)
C NoteOff, Abs: 8800 (D 16)
E NoteOn, Abs: 8832 (D 32)
E NoteOff, Abs: 8848 (D 16)
A# NoteOn, Abs: 8904 (D 56)
A# NoteOff, Abs: 8920 (D 16)
C NoteOn, Abs: 8928 (D 8)
C NoteOff, Abs: 8944 (D 16)
F NoteOn, Abs: 8976 (D 32)
F NoteOff, Abs: 8992 (D 16)
